,Emotion,Text,Clean_Text
0,neutral, Why ? ,
1,joy,Sage Act upgrade on my to do list for tommorow.,Sage Act upgrade list tommorow
2,sadness,ON THE WAY TO MY HOMEGIRL BABY FUNERAL!!! MAN I HATE FUNERALS THIS REALLY SHOWS ME HOW BLESSED I AM ,WAY HOMEGIRL BABY FUNERAL MAN HATE FUNERALS SHOWS BLESSED
3,joy," Such an eye ! The true hazel eye-and so brilliant ! Regular features , open countenance , with a complexion , Oh ! What a bloom of full health , and such a pretty height and size ; such a firm and upright figure ! There is health , not merely in her bloom , but in her air , her head , her glance . One hears sometimes of a child being ' the picture of health ' ; now , she always gives me the idea of being the complete picture of grown-up health . She is loveliness itself . ",eye  true hazel eyeand brilliant  Regular features  open countenance  complexion  Oh  bloom health  pretty height size  firm upright figure  health  merely bloom  air  head  glance  hears child  picture health    gives idea complete picture grownup health  loveliness 
4,joy,"@Iluvmiasantos ugh babe.. hugggzzz for u .!  babe naamazed nga ako e babe e, despite nega's mas pinaramdam at fil ko ang ",  ugh babe hugggzzz u  babe naamazed nga ako e babe e despite negas mas pinaramdam fil ko ang
5,fear,I'm expecting an extremely important phonecall any minute now #terror #opportunity,Im expecting extremely important phonecall minute #terror #opportunity
6,sadness," .Couldnt wait to see them live. If missing them in NH7 wasnt painful enuf, Suraj 's performing his last gig in delhi. ",Couldnt wait live missing NH7 wasnt painful enuf Suraj s performing gig delhi
7,surprise,maken Tip 2: Stop op een moment dat je het hele project wel ziet zitten. Nu dus. #derestkomtlaterwel,maken Tip 2: Stop op een moment dat je het hele project wel ziet zitten Nu dus #derestkomtlaterwel
8,surprise,En dan krijg je ff een cadeautje van een tweep #melike,En dan krijg je ff een cadeautje van een tweep #melike
9,surprise," @1116am Drummer Boy bij op verzoek van @BiemOosterhof . @frankcornet : welke uitvoering, van wie?",  Drummer Boy bij op verzoek van      : welke uitvoering van wie
10,anger,"The bull tossed the effigy out of their hands and became very infuriated . "" ",bull tossed effigy hands infuriated  
11,sadness,People hide their behind a #fake smile.,People hide #fake smile
12,joy,"For once in his life , Leopold must have been truly happy : his hopes and prayers for his beloved son seemed at last to have come to fruition . ",life  Leopold truly happy : hopes prayers beloved son come fruition 
13,fear,Against the assault of laughter nothing can stand. ~ Mark Twain #emotionalcourage,assault laughter stand ~ Mark Twain #emotionalcourage
14,anger," With everything , with everybody , with all this ! ", everybody  
15,sadness,"Shakuhachi dress $580,  10-22 mm lens $708 #pain :(",Shakuhachi dress $580 1022 mm lens $708 #pain :(
16,surprise,"Haha of course I come home to a different house, leave it to my parents to redo the entire downstairs without warning ",Haha course come home different house leave parents redo entire downstairs warning
17,joy,I have a feeling i will fail french #fuckfrench,feeling fail french #fuckfrench
18,joy, Good.Let ' s go now . ,GoodLet  
